ופקיד וּפַקֵּּ[י]ד:ס=שפיקד
מי קַמֵּּי:ס=לפני
דחייכת דְְּחַיֵּ[י]כְתְּ:ס=שצחקת
קמייהו קַמַּּֽיְ[י]הוּ:ס=לפניהם
בנייהו בְְּנַֽיְ[י]הוּ:ס=בניהם
בהדייהו בַּהֲדַֽיְ[י]הוּ:ס=איתם
דזמין דְְּזַמֵּ[י]ן:ס=שזימן
עליה עֲלֵ[י]הּ:ס=עליו
ואי וְְאִי:ס=ואם
בביתא בְְּבֵיתָא:ס=בבית
יומא בְְּיוֹמָא:ס=ביום
אבתריה אַבָּתְרֵ[י]הּ:ס=אחריו
עלייהו עֲלַיְ[י]הוּ:ס=עליו
דאקדים דְְּאַקְדֵּ[י]ם:אפעל(קדם),שלישי,זכר,יחיד,הווה=שמקדים
אקדים אַקְדֵּ[י]ם:אפעל(קדם),שלישי,זכר,יחיד,הווה=שמקדים
בלא בְְּלָא:חיבור+שלילה=בלא
ורוי וְְרָוֵי:חובור+פעל(רוי),זכר,יחיד,הווה=ורווה
ותבע וְְתָבַע:חיבור+פעל(תבע),שלישי,זכר,יחיד,הווה=ודרש
רשו רְְשׁוּ:שם-עצם=רשות
ורדף וְְרָדֵף:חיבור+פעל(רדף),שלישי,זכר,יחיד,הווה=ורודף
דההוא דְְּהַהוּא:שייכות+כינוי=דההוא
ועלמא וְְעָלְמָא:חיבור+שם-עצם=והעולם
פלנייא פְְּלָנְיָ[י]א:שם-עצם=פלוני
ואמרי וְְִאָמְרִי:מילת-חיבור+פעל(אמר),זכר,רבים,הווה=ואומרים
בנך בְְּנָךְ:שם-עצם+שייכות,שני,זכר,יחיד=בנך
מקטרג מְְקַטְרֵג:בינוני(קטרג),זכר,יחיד=מקטרג
מסבב מְְסַבֵּב:ס=מסבב
וקא וְְקָא:מילת-חיבור=ו
דיכיל דְְּיָכֵיל:פעל(יכל),שלישי,זכר,יחיד,הווה=שיכול
בגין בְְּגִין:מילת-חיבור=בגלל
סליק סָלֵ[י]ק:פעל(סלק),זכר,יחיד,הווה=עולה
רחמך רָחֲמָך:שם-עצם(רָחֲמָא),זכר,יחיד
מתיבתא מְְתִיבְתָּא:שם-עצם,נקבה,רבים=ישיבה
רבון רִבּּוֹן:שם-עצם,זכר,יחיד=ריבון
אתקריאת אִתְקְְרִיאַת:נפעל(קרי),שני,זכר,יחיד,הווה=נקרא
נחית נָחִית:פעל(נחת),שלישי,זכר,יחיד,עבר=ירד
מקטרגא מְְקַטְרְְגָא:שם-עצם,זכר,יחיד=מקטרג
וקם וְְקָם:פעל(קום),זכר,יחיד=וקם
כגוונא כְְּגַוְ[ו]נָא:שם-עצם,זכר,יחיד=כגוון;כמו
דמסכנא דְְמִסְכֵּנָא:שם-עצם,זכר,יחיד=דעני
דאשגח דְְּאַשְׁגַּח:הפעיל(שגח),שלישי,זכר,יחיד,הווה=דמבחין
משמש מְְשַׁמֵּּשׁ:בינוני(שמש),זכר,יחיד=משמש
ורברבים וְְרַבְרְְבִין:שם-עצם,זכר,רבים=ושרים
אוניקת אוֹנֵיקַת:הפעיל(ינק),שלישי,נקבה,יחיד,עבר=הניקה
בנין בְְּנִין:שם-עצם(),זכר,רבים=בנים
לכלהו לְְכֻלְְּּהוּ:ס=לכולם
מהימנין מְְהֵמְְנִין:הפעיל(המן),זכר,רבים,בינוני=נאמנים
אולידת אוֹלֵידַת:הפעיל(ילד),שלישי,נקבה,יחיד,עבר=הולידה
חולקיה חוּלָקֵ[י]הּ:שם-עצם(חוּלָקָא)+שייכות,שלישי,זכר,יחיד=חלק
יהיב יָהֵ[י]ב:פעל(יהב),זכר,יחיד,הווה=נותן
דחדי דְְּחָדֵי:פעל(חדי)
באנון בְְּאִנּּוּן:כינוי,שלישי,זכר,רבים=בהם;באותם
מועדייא מוֹעֲדַיָּּ[י]א:שם-עצם(מועדא),זכר,רבים=מועדים
במועדייא בְְּמוֹעֲדַיָּּ[י]א:שם-עצם(מועדא),זכר,רבים=במועדים
לקודשא לְְקוּדְשָׁא:שם-עצם,זכר,יחיד=לקדוש
וסליק וְְסָלֵ[י]ק:פעל(סלק),שלישי,זכר,יחיד,הווה=ועולה
