אֱלָהִין אֱלֹהִים
אֱלָהָא אֱלוֹהַּ
== אֲבְהֲתָנָא אָבוֹתֶינוּ
אֲבַתְרָהּ אַחֲרֶיהָ
אַבָּתְרֵיהּ אַחֲרָיו
אֲבָהָן הָאָבוֹת
אֲוִירָא הָאֲוִיר
אֲזַל הָלָךְ
אֲזַלוּ הָלְכוּ
אֲחַר אַחֵר
אַמַּאי מַדּוּעַ
אֲמַרְתְּ אָמַרְתָּ
אֲמַרְתּוּן אֲמַרְתֶּם
אֲמָרוֹ אמרו
אֲנַן אָנוּ
אֲנָא אני
=אֲסִירָא אָסוּר
אֲפַרְסְמוֹנָא אֲפַרְסְמוֹן
אֲרִיכִין אֲרֻוכִּים
= אֲרִיכֵי ארוכות
אֲתַר מָקוֹם
אֲתָא בָּא
אֲתַאן בָּאוּ
אֲתַר מָקוֹם
אִֽיהִי הוּא
אִֽיהוּ מִמֶּנּוּ
אֶבְרֵי אֶבְרָא
אִגְּלִֽיפוּ נִגְלְפוּ
אִזְדְּמִינַת נִזְמְנָה
אִי אִם
אִילָנָא הָאִילָן
אִינּוּן אוֹתָם
אִית יֵשׁ
אִיתְגַּלְּיָא גָּלוּי
אִלֵּין אֵלּוּ
אִסְתְּבַּךְ יסתבך
אִסְתְּחָאן בלבן
אִסְתְּיָים להתפרש
אִסְתְּכָּלוּ הִסְתַּכְּלוּ
אִסְתְּלִיקוּ נתעלו
אִסְתְּלַּק הִתְעַלָּה
אִסְתַּכַּל מִסְתַּכֵּל
אִסְתַּלִיק הִתְעַלָּה
אִסְתַּלַּק מִסְתַּלֵּק
אִסְתַּלָּקוּ פָּסְקוּ
אִסְתָּיָּים מִסְתַּיֵּם
אִסְתָּכַּֽלְתָּא הִסְתַּכַּלְתָּ
אִסְתָּלָקוּ הסתלקו
אִצְטְרִֽיכוּ הִצְטָרְכוּ
אִצְטְרִיךְ לכפות
אִקְרֵי נקרא
אִקְרוּ נקראו
אִקְרוּן נקראות
אִקְּרוּן נִקְרָאִים
אִשְׁתְּאִיב נשאב
אִשְׁתְּזִֽיבוּ נִצְּלוּ
אִשְׁתְּזִיב נִצּוֹל
אִשְׁתְּכִיךְ נשקט
אִשְׁתְּכַח נמצא
אִשְׁתְּכַחוּ נמצאו
אִשְׁתְּכָחוּ נמצאות
אִשְׁתְּכָכוּ נשקטות
אִשְׁתְּלִים נשלמת
אִשְׁתְּמַע נִשְׁמָע
אִשְׁתְּמוֹדַע נודע
אִשְׁתְּצֵי מֻשְׁמָד
אִשְׁתִּֽיקוּ שָׁתְקוּ
אִשְׁתַּכְּחָן נמצאים
אִשְׁתַּכְּחוּ נמצאים
אִשְׁתַּמְעוּ נִשְׁמָעִים
אִשְׁתָּאַר נִשְׁאֲרָה
אִשְׁתָּאָרַת נִשְׁאֲרָה
אִשְׁתָּהֵי הִשְׁתַּהָה
אִשְׁתָּכְלָל נשתכלל
אִשְׁתּוֹמֵם הִשְׁתּוֹמֵם
אִתְאַחֲדַת נֶאֶחְזָה
אִתְאַחֲדָן נאחזים
אִתְבְּטָלוּ התבטלו
אִתְבְּלֵי יתבלה
אִתְבְּנֵי נִבְנָה
אִתְבְּסָם נתבשמת
אִתְבְּסָמוּ התבסמו
אִתְבְּרִֽיאוּ נִבְרְאוּ
אִתְבְּשַׂר הַכִּפּוּרִים
אִתְבַּסְּמָן מתבסמים
אִתְבַּסְּמוּתָא התבשמות
אִתְבָּשָּׂר הִתְבַּשֵּׂר
אִתְגַלְיָיא מתגלה
אִתְגְּזַר נגזרה
אִתְגְּלֵי נתגלה
אִתְגְּנִיזוּ נגנזו
אִתְגַּלְיָא מתגלה
אִתְגַּלְיָיא מתגלה
אִתְגַּלְיָין נתגלו
אִתְגַּלְּיָא הִתְגַּלָּה
אִתְגַּלְּיָין נתגלו
אִתְגַּלְּיָן מִתְגַּלִּים
אִתְגָּלוּ הִתְגַּלּוּ
אִתְדָן נִדּוֹן
אִתְדָּבָקוּ נדבקו
אִתְהַדְּרוּ חָזְרוּ
אִתְהַפָּכַת מִתְהַפֶּכֶת
אִתְזָנוּ נִזּוֹנִים
אִתְחְרִיב נֶּחֱרַב
אִתְחֲזֵי נראה
אִתְחַבְּרוּן הִתְחַבְּרוּ
אִתְחַבָּרוּ נתחברו
אִתְחַזְיָיא נראה
אִתְחַזְיָין נראות
אִתְחַזֵּי נִרְאֶה
אִתְחַלְחָֽלוּ הִתְחַלְחֲלוּ
אִתְחַפְּיָיא מתחפה
אִתְחָזוּן נראים
אִתְטַמָרוּ נסתרו
אִתְטָמַר נִסְתָּר
אִתְיְדַע נודע
אִתְיְישָׁב הִתְיַשֵּׁב
אִתְיְלִיד נוֹלַד
אִתְיַישְּׁבָן בזה
אִתְכְּלִיל אִתְכְּלִיל
אִתְכְּלִילָן נִכְלְלוּ
אִתְכְּלִילוּ נִכְלְלוּ
אִתְכְּלִלוּ נכללו
אִתְכְּלָלוּ נִכְלְלוּ
אִתְכְּנָֽשׁוּ הִתאספו
אִתְכַּסְּיָא נתכסתה
אִתְכַּפְיָיא נכפפים
אִתְכָּלָלוּ נכללות
אִתְלַכְלְכוּ הִתְלַכְלְכוּ
אִתְלָבַּשׁ מתלבש
אִתְמְלֵי מִתְמַלֵּאת
אִתְמְנַע נִמְנָע
